foodname,calories,protein,fat,carbs,salt
Rind Kotelett (Rücken) roh,130,22.45,4.45,0.0,0.138
"Kalb Rücken, roh",107,20.9,2.62,0.0,0.232
"Hirsch Rücken, roh",112,20.6,3.34,0.0,0.158
"Pferd Fleisch, roh",108,20.6,2.67,0.4,0.11
"Reh Keule, roh",97,21.4,1.25,0.0,0.15
"Reh Rücken, roh",122,22.4,3.55,0.0,0.21
"Wachtel Fleisch, ohne Haut, roh",128,21.8,4.53,0.0,0.128
Schnittkäse halbfest mind. 20 % Fett i. Tr.,242,33.82,11.4,0.0004,2.025
"Rind Brustkern/Mittelbrust, roh",200,18.585,13.993,0.0,0.155
"Kalb Muskelfleisch, roh",92,21.3,0.81,0.0,0.235
Kalb Steak (Rücken) roh,107,20.9,2.62,0.0,0.232
Kalb Kotelett (Rücken) roh,107,20.9,2.62,0.0,0.232
Kalb Kochfleisch (Brust) roh,200,18.585,13.993,0.0,0.155
"Kalb Brust, roh",201,18.4,14.2,0.0,0.262
"Kalb Fleisch, vom Knochen, roh",92,21.3,0.81,0.0,0.235
Rahmnockerln gebraten,193,6.7,12.3,13.6,0.2
Tomaten gebacken provenzalische Art,96,1.0,7.95,3.83,0.482
Buchweizen-Wasserbiskuitboden,305,10.63,4.93,53.4,0.318
"Eier-Frischteigwaren mit Grieß, grün, selbstgemacht, roh",236,10.66,3.4,39.1,1.055
"Käsealternative, Basis Pflanzenfett, vegan",293,0.156,23.043,21.168,2.152
Weiße Rüben gedünstet (mit Fett und Salz),68,0.81,4.5,4.75,0.45
"Speiseeis Vanille, überzogen mit Schokolade",292,3.67,16.3,31.75,0.1282
"Schwein Hintereisbein/Hinterhaxe, gegrillt",282,26.1,19.73,0.0,0.2582
"Rind Magen/Kutteln, gekocht",97,17.4,3.04,0.0,0.142
Brownies,489,7.26,32.84,38.7,0.27
Mehrkornknusperbrot angereichert mit Vitaminen und Spurenelementen,353,10.7,2.3,66.4,1.3
"Ente Schenkel, mit Haut, gebraten ohne Fett (Ofen)",194,26.02,9.98,0.0,0.342
Vollkornbrot mit Quark,213,7.92,1.02,38.0,1.202
"Köhler/Seelachs, pochiert",100,19.32,2.549,0.0,0.1522
"Vollkornpfannkuchen/Vollkorneierkuchen, ungesüßt, mit Milch 3,5 % Fett, gebraten",231,8.98,13.4,17.04,0.275
Dinkelvollkornknäckebrot mit Ölsamen und Hartkäse,424,17.8,18.1,43.0,1.835
Vanillecremeeis,176,4.3,9.42,18.5,0.102
"Knuspermüslimischung, klassisch, gesüßt, angereichert mit Vitaminen und Mineralstoffen",421,9.0,15.95,56.4,0.53
"Hähnchen Flügel, mit Haut, mariniert, roh",211,16.56,15.26,1.66,1.07
Kürbis gedünstet (mit Fett und Salz),56,1.34,3.2,4.97,0.468
Kartoffelpuffer/Reibekuchen (mit saurer Sahne und Grieß) gebraten,185,3.6,8.9,21.6,0.38
Rotkohl mit Apfel gedünstet,62,1.01,3.74,4.9,0.19
Zander tiefgefroren,86,20.0,0.66,0.0,0.06
Rhabarber-Streuselkuchen (Hefeteig),169,3.52,6.0,23.0,0.04
"Blei/Brachsen/Brasse, gesalzen",110,18.58,3.91,0.0,2.215
Weizenmischbrötchen mit Mohn,291,9.0,3.3,53.0,1.432
"Joghurt mind. 3,5 % Fett, mit Schokoladenzubereitung, gesüßt",117,3.46,4.475,14.914,0.102
"Schaf Bratenfleisch (Bug, mager) gebraten ohne Fett (Ofen)",176,26.7,7.73,0.0,0.212
"Fruchtmischung (Apfel, Banane, Mandarine) ungesüßt",64,0.729,0.5,12.7,0.002
Wirsing gedünstet (mit Fett und Salz),70,2.28,4.6,3.7,0.365
Roggenvollkornknäckebrot,327,9.44,1.39,59.32,1.3258
Rind Pökelfleisch (Brust) geräuchert,191,17.658,13.295,0.25,1.8
"Hafer Grütze, gekocht (mit Fett und Salz)",71,2.8,2.18,9.2,0.1282
"Suppenhuhn Innereien, geschmort ohne Fett",244,30.9,13.4,0.0,0.245
Mehrkornvollkornknäckebrot,339,10.6,2.4,60.0,1.205
Roggenvollkornknäckebrot mit Milch,327,9.69,1.38,59.18,1.375
Thüringer Obstkuchen (Hefeteig),165,7.1,4.9,22.0,0.1
"Milchmischgetränk < 1 % Fett, probiotisch, aromatisiert, mit Zucker und Süßungsmitteln, angereichert mit Vitaminen",28,3.473,0.071,3.2,0.135
"Rind Zunge, Kochpökelware",175,15.579,12.257,0.498,1.8
Süßkartoffeln gedünstet (mit Fett und Salz),124,1.44,3.1,21.3,0.4
"Sauerteigbrot mit Sonnenblumenkernen, glutenfrei",231,7.9,7.6,30.9,1.002
Kokoskuchen (Rührmasse),444,7.33,28.64,37.8,0.52
Kartoffelgratin ohne Käse,117,2.4,5.03,15.0,0.32
Vollkornbrot mit Ölsamen,229,8.1,3.17,37.0,1.15
"Schaf Keule, mager, mariniert, roh",120,20.9,3.88,0.34,1.022
Roggenbrötchen mit Sesam,275,8.42,3.55,48.0,1.392
"Lamm Brust, gebraten ohne Fett (Ofen)",336,21.507,27.778,0.0,0.235
Bayerisches Kraut gedünstet,58,1.009,3.712,3.84,0.178
Weizenbrötchen mit Quark,298,10.2,2.68,56.0,1.445
"Hähnchen Oberschenkel, mit Haut, gebraten ohne Fett (Ofen)",256,24.88,17.35,0.0,0.2258
Misosuppe,11,0.6,0.4,0.85,1.135
Bouillabaisse,44,8.0,0.7,1.1,0.542
Blumenkohl gebraten ohne Fett (Pfanne),71,4.848,0.56,10.65,0.06
Käse-Schinken-Hörnchen (Quark-Öl-Teig),305,14.45,14.25,28.3,1.372
Vanillefondant,390,0.011,4.602,85.3,0.01
"Pfefferschote rot, gebraten ohne Fett (Pfanne)",68,3.17,0.75,10.49,0.038
Apfelkuchen (Sandmasse),244,3.1,12.42,29.1,0.095
Anisplätzchen (Biskuitmasse),350,8.0,2.87,71.82,0.152
"Hirsebrei ungesüßt, mit Milch 3,5 % Fett",134,6.0,4.18,17.82,0.1128
Mehlmischung für Kuchen glutenfrei,347,1.8,0.5,82.9,0.008
Lachssteaks gebraten,224,23.4,14.484,0.0,0.6085
Zwetschgen-Streuselkuchen (Hefeteig),192,3.34,6.02,30.0,0.04
Apfelstrudel (Mürbeteig),289,4.6,16.1,29.8,0.058
"Eierteigwaren Tortelloni (Ricotta-Spinat-Füllung) getrocknet, gekocht",106,4.142,1.776,17.862,0.265
Roggenbrötchen mit Ölsamen,281,9.1,5.17,45.0,1.32
Buchweizen gekocht (mit Fett und Salz),102,3.33,2.51,15.8,0.1852
Springerle,392,7.84,2.36,83.67,0.135
Mandelbiskuitboden,307,11.98,9.95,41.49,0.24
Schokoladensahneeis,322,3.9,25.59,18.4,0.078
Schwein Bauch (wie gewachsen) Rohpökelware,294,16.69,25.08,0.47,4.5
"Schokolade weiß, mit Kaffee",546,6.4,32.8,55.8,0.25
Quarkkrapfen frittiert,340,7.0,16.3,39.4,0.255
Braune Lebkuchen unglasiert,332,7.0,12.1,47.5,0.542
Roggenmischbrot mit Quark,223,7.31,0.76,43.0,1.238
"Spanisch Fricco (Kartoffel-Eintopf mit Schweinefleisch, Naturjoghurt und saurer Sahne)",173,7.13,11.3,10.0,0.22
Heringsrogen gesalzen,147,28.821,3.569,0.0,3.54
Apfelkuchen (Quark-Öl-Teig),177,3.4,6.34,25.2,0.195
Schokoladen-Haselnuss-Cookies,505,7.8,27.39,54.7,0.562
Banane getrocknet,290,4.89,1.5,58.9,0.00482
Eiweißbrot/Proteinbrot,226,23.4,8.2,11.0,0.97
"Milchmischgetränk 3,5 % Fett, aromatisiert, gesüßt",78,3.38,3.33,8.5,0.082
Rührei gebraten in Butter,172,13.31,12.99,0.42,0.728
Sauerampfer gekocht,35,4.557,0.514,1.656,0.0
Sauerkraut gedünstet,29,0.76,1.05,1.68,0.72
Spinat gedünstet,22,2.49,0.361,1.12,0.15
Schweinebraten ohne Sauce,264,27.24,17.24,0.0,0.622
Erbsenpüree von grünen Erbsen,121,4.7,5.795,9.8,0.258
"Getreideflakes gesüßt, mit Schokolade, angereichert mit Vitaminen und Mineralstoffen",376,8.1,5.8,69.3,0.88
Himbeersaft,35,0.9,0.24,5.53,0.008
"Schwein Leber, gebraten ohne Fett (Pfanne)",147,23.15,5.55,1.163,0.2462
Roggenvollkornknäckebrot mit Sonnenblumenkernen,367,12.21,9.39,49.8,1.3368
"Getreideflakes gesüßt, angereichert mit Vitaminen und Mineralstoffen",348,9.7,1.6,70.2,0.835
Schwein Schnitzel (Oberschale) gegrillt,137,28.8,2.388,0.0,0.22
Weizenbrötchen mit Kümmel und Salz,291,9.3,2.69,55.0,2.165
"Schwein Kochschinken, Kochpökelware, geräuchert",106,19.24,3.04,0.465,1.8
"Schwein Hintereisbein/Hinterhaxe, Kochpökelware, geräuchert",163,16.35,10.63,0.437,1.8
Nussbiskuitboden,319,11.42,11.5,41.5,0.238
Pfeffernüsse,397,8.85,4.48,78.6,0.408
"Weizenvollkornknäckebrot mit Ölsamen, Hartkäse und Möhre",417,16.1,15.3,48.0,1.878
Mayonnaise mit Essig,719,2.0,78.57,0.41,1.272
Kathrinchen (Honigteigplätzchen),401,7.14,8.91,71.43,0.075
Frühlingszwiebel/Lauchzwiebel (ohne Laub) gekocht,37,1.0,0.173,6.91,0.022
Knacker einfach/Schüblinge einfach/Servela einfach,210,12.2,17.86,0.08,2.0
Fleischersatz glutenhaltig (Seitan),199,28.4,7.2,4.0,1.6312
"Kalbsleber mehliert, gebraten",141,19.22,2.94,9.2,0.53
Mehrkornbrötchen,302,9.8,5.44,50.0,1.282
Brötchen glutenfrei,303,4.4,4.2,61.0,1.3
Grünkohl gedünstet (mit Fett und Salz),77,3.02,4.29,3.7,0.19
Möhren-Nuss-Kuchen (Rührmasse),360,7.35,20.04,36.0,0.37
Ottilienkuchen (Rührmasse),456,7.1,26.98,45.1,0.208
Putenei gekocht,163,13.7,11.9,0.34,0.378
"Sauerkraut abgetropft, gedünstet",22,1.114,0.307,0.98,1.178
"Schaf Filetmedaillon, gebraten ohne Fett (Ofen)",146,29.26,3.21,0.0,0.1408
Eiweißbrötchen/Proteinbrötchen,328,33.9,11.9,16.0,1.402
"Kalb Hirn, gekocht",103,10.694,6.706,0.0,0.21
"Schwein Kammsteak, mariniert, gegrillt",312,27.29,22.4,0.19,1.5
Weizenvollkornbrot mit Nüssen,242,8.8,4.29,38.0,1.122
Napfkuchen mit Sultaninen und Zitronat (Rührmasse),402,7.1,17.6,52.0,0.418
Roquefortsauce,430,12.436,41.23,1.876,1.982
Haferbrötchen,302,10.5,4.47,52.0,1.432
"Rind Keule, tiefgefroren",148,21.0,7.1,0.0,0.15
Zwetschgenkuchen (Quark-Öl-Teig),180,3.36,6.37,26.4,0.195
Schwein Oberschale (ohne Deckel) gekocht,145,30.01,2.73,0.0,0.0778
"Sahnejoghurt mind. 10 % Fett, mit Schokoladenzubereitung, gesüßt",151,2.9,8.87,14.3,0.1
Wiener Tortenboden kakaohaltig (dunkel),362,8.99,16.29,44.0,0.228
Sojasprossen gedünstet (mit Fett und Salz),86,6.38,6.04,0.3,0.225
"Schwein Kotelett (Rücken/cranial) Kochpökelware, geräuchert",131,17.07,6.82,0.437,1.8
Joghurt-Dip,93,3.64,6.6,4.0,0.45
Mandelkuchen (Hefeteig),429,10.07,22.77,44.0,0.068
Käsewaffeln salzig (Rührmasse),481,10.7,35.96,27.5,0.315
Fondantkonfekt mit Zartbitterschokolade überzogen,361,1.3,6.0,75.0,0.04
"Speisequarkzubereitung mind. 30 % Fett i. Tr., mit Kräutern",119,8.35,7.78,3.32,0.842
"Speisequarkzubereitung mind. 40 % Fett i. Tr., mit Kräutern",137,8.53,9.66,3.52,0.802
Haselnusszopf (Mürbeteig),431,8.47,25.17,41.2,0.182
"Bratensoße dunkel, Konserve",43,1.32,1.56,5.7,1.475
"Dorsch/Kabeljau, pochiert",69,15.5,0.78,0.0,0.185
Weißkraut gedünstet (mit Fett und Salz),58,1.009,3.71,3.83,0.23
Semmelknödel getrocknet,390,17.35,10.66,54.32,2.7
"Schokobiskuitrolle/Schokobiskuitroulade, ungefüllt",290,11.59,6.78,44.4,0.278
Weizenbrötchen mit Sesam,299,9.6,3.43,55.0,1.438
Schokoladen-Milchkaltschale gebunden mit Stärke,86,3.72,3.52,9.8,0.122
"Schweinekotelett natur, gebraten",230,26.92,13.59,0.02,0.3832
Roggenbrot mit Nüssen,230,6.12,3.97,38.0,1.132
Tomatenkartoffeln gedünstet,100,1.76,4.2,12.98,0.368
Weizenvollkornbrötchen mit Ölsamen,299,11.2,5.61,46.0,1.36
"Kalb Fleisch, sehnenfrei, sichtbarer Fettanteil > 20 % (KA IV) roh",296,16.702,25.412,0.0,0.178
"Pfannkuchen/Eierkuchen, ungesüßt, mit Milch 1,5 % Fett, gebraten",211,8.75,5.0,31.6,0.348
Mandelboden (mit Eiklar zubereitet),375,10.6,16.218,44.95,0.148
"Schwein Schnitzel (Oberschale) mariniert, gegrillt",184,26.38,8.52,0.16,1.2
Kokosmilch/Kokosnussmilch,227,2.774,21.9,2.1,0.055
Grillhähnchen,257,24.18,17.78,0.0,0.5658
Honigkuchen,366,6.77,6.5,68.4,0.435
Sojabohnen (Edamame) gedünstet (mit Fett und Salz),161,10.8,10.0,5.1,0.295
Apfelkuchen (Rührmasse),220,3.8,9.97,27.8,0.175
Senf-Honig-Dressing für Salat,404,0.62,41.3,5.17,0.925
Mandelkuchen (Rührmasse),430,10.47,23.96,41.3,0.358
Buttergebäck kakaohaltig (Mürbeteig),497,7.42,27.08,54.0,0.195
Getreidechips umhüllt mit Milchschokolade,513,5.24,27.67,59.4,0.338
Couscous (Hartweizen) gekocht,156,4.914,0.68,31.05,0.0118
"Alaska-Pollack/Alaska-Seelachs, gegrillt",73,15.9,1.04,0.0,0.358
Schwarzwurzel gedünstet,60,1.363,0.422,8.6,0.012
Ingwer kandiert,215,1.01,0.39,51.1,0.022
Scheiterhaufen gebacken,168,4.9,4.9,25.1,0.39
Sahnelikör,262,0.75,10.178,18.0,0.03
Vollkornhefeteig süß roh,273,8.4,8.26,38.0,0.165
Grissini,354,11.63,13.0,44.0,0.575
"Kaffee (Getränk) mit Kondensmilch 7,5 % Fett und Zucker",13,0.32,0.248,2.105,0.018
Kokos-Praline mit Cremefüllung und blanchierter Mandel,604,6.7,46.8,36.5,0.3
Birnenkraut,206,0.8,0.7,47.7,0.008
Mandelgebäck (Mürbeteig),539,8.39,32.93,49.9,0.15
"Schaf Filetmedaillon, gegrillt",161,31.25,3.95,0.0,0.161
"Bratensoße aus Instantpulver, zubereitet mit Wasser",10,0.225,0.247,1.731,0.648
Mehlschmarren (süddeutsche Mehlspeise) gebraten,254,7.78,11.04,29.92,0.138
Fleischsalat-Grundmasse,261,10.24,24.01,0.96,2.0
"Sacherguss/Schokoladenglasur, für Gebäck/Torten",345,3.31,15.75,45.4,0.015
Graved Lachs,152,19.009,7.74,1.493,2.922
"Cocktail, Gin Tonic",55,0.0,0.0,5.368,0.002
Apfeltaschen (Hefeteig),244,5.5,7.0,38.0,0.062
Buttermilch-Dressing mit Honig für Salat,104,2.86,6.28,8.03,0.515
Rührei gebraten mit Pfifferlingen,166,9.26,13.59,1.11,0.575
"Fruchtmischung gezuckert, roh",87,0.694,0.4,18.9,0.005
Brombeersaft,40,1.17,0.2,9.2,0.002
Stachelbeere gedünstet,56,0.972,0.167,10.929,0.005
Debreziner Bohnengulasch (mit Schweinefleisch),97,10.52,4.8,2.3,0.312
"Lamm Bries, gekocht",91,15.4,3.28,0.0,0.11
Stint gebraten ohne Fett (Pfanne),100,20.662,1.912,0.0,0.415
"Weizenvollkornknäckebrot mit Müslizutaten, gesüßt",438,13.6,18.1,50.0,0.47
Weizenmischbrot mit Quark,224,7.79,0.85,43.0,1.205
Französische Schokoladentorte (Rührmasse),452,5.66,23.7,52.4,0.472
Früchtekuchen (ohne Fett zubereitet),380,7.4,12.3,56.4,0.225
"Blätterteig eifrei, roh",425,4.18,32.19,28.65,0.398
Pralinen gefüllt mit Fruchtcreme,550,4.3,35.3,51.1,0.13
"Wildente Fleisch, mit Haut, gebraten ohne Fett (Ofen)",243,27.0,15.0,0.0,0.178
"Hammel Keule, geschmort ohne Fett",309,26.719,22.5,0.0,0.182
Weizenvollkornbrötchen mit Kürbiskernen,297,11.7,5.66,45.0,1.355
"Gerste ganzes Korn, gekocht",176,6.001,1.062,33.4,0.02
Vollkornbrot mit Sonnenblumenkernen,230,8.1,3.29,37.0,1.145
"Milchmischgetränk 3,5 % Fett, aromatisiert, gesüßt, angereichert mit Vitaminen",78,3.38,3.33,8.5,0.082
Dinkelvollkornbrötchen mit Ölsamen,297,11.5,5.97,45.0,1.368
"Hähnchenbrustfilet mit Cornflakes paniert, gebraten",191,23.14,8.13,6.13,0.52
Rumtopf,333,0.3,0.1,17.4,0.005
Erdbeersahneeis,241,2.9,20.88,9.83,0.065
"Nearwater/Aqua Plus Getränk, aromatisiert, mit Zucker und Süßungsmitteln",14,0.0,0.0,3.6,0.008
"Pute Flügel, mit Haut, tiefgefroren",192,20.2,12.3,0.0,0.138
Meeresfrüchtemischung roh,72,14.614,1.51,0.0,0.695
"Bechamelsauce mit Milch 3,5 % Fett",119,4.21,8.01,7.24,0.21
Omelett gebraten mit Tomaten,142,6.2,11.81,2.13,0.308
Rindergulasch mit Gemüse,100,8.0,4.0,7.0,0.5
Kräuterquark (aus Magerquark),80,9.49,2.7,3.8,0.48
Weizenmischbrötchen,289,8.8,2.72,54.0,1.46
Westfälischer Pfefferpotthast mit Rindfleisch und Sauce,122,12.45,6.2,3.44,0.495
Fleischkäse fettreduziert,147,18.25,8.1,0.16,2.2
Brathähnchen gebraten im Ofen,230,22.69,15.44,0.017,0.5045
Müslimischung Bircher Art (mit Trockenfrüchten und Nüssen) ungesüßt,366,11.8,11.0,49.4,0.02
Mais gekocht,88,2.284,0.95,16.583,0.002
Currybratwurst,215,10.92,19.01,0.04,1.9058
"Ganze Tomaten gedünstet, mit Sahne",83,1.215,6.643,3.68,0.245
"Kalb Zunge, Kochpökelware",144,15.977,8.682,0.483,1.8
Krautgulasch (mit Rindfleisch),129,11.34,7.1,3.93,0.24
Dinkelbrot mit Nüssen,253,8.66,5.01,41.0,1.132
Raspeli,450,6.3,23.388,50.4,0.18
Englischer Kuchen (Sandmasse) mit Alkohol,424,5.8,22.2,48.3,0.135
Schwein Dünner Bug (ohne Fett und Schwarte) gebraten ohne Fett (Ofen),169,27.44,6.57,0.0,0.1852
Stint gedünstet,77,15.536,1.619,0.0,0.395
"Suppengrün/Suppenkraut, roh",33,2.154,0.335,3.4,0.14
Kirschenmichel gebacken,152,5.0,4.84,21.58,0.398
"Schaf Kotelett, mariniert, roh",320,13.87,29.2,0.34,1.08
Weizenvollkornbrot mit Sonnenblumenkernen,236,9.3,3.37,38.0,1.122
"Kalb Bug/Schulter, gekocht",119,27.257,1.082,0.0,0.202
Dinkeleierteigwaren roh,366,14.51,2.29,68.48,0.042
Aprikosensaft,49,0.7,0.104,10.8,0.005
Johannisbeertorte mit Baiser/Träublestorte (Mürbeteig),320,6.7,12.9,41.75,0.112
Käse-Weißbrot-Auflauf,260,15.3,14.01,17.34,1.075
Schokoladenbaiser,406,8.1,10.81,66.3,0.268
Makronenkuchen (Rührmasse),456,8.8,26.23,44.6,0.165
"Hamburger Rauchfleisch (Rind Oberschale) Rohpökelware, geräuchert",118,19.495,4.231,0.492,4.5
"Dicke Bohne unreif, tiefgefroren",70,6.0,0.7,6.6,0.048
Kekse/Plätzchen (Vollkornmürbeteig),522,7.13,29.77,53.1,0.2
Quicheboden (Mürbeteig),442,8.2,25.85,42.5,0.408
"Getreideflakes gesüßt, mit Schokolade",376,8.1,5.8,69.3,0.88
"Gemüsemischung asiatische Art, roh",30,2.0,0.3,3.6,0.018
Vollkornbrot glutenfrei,227,6.6,6.0,32.0,0.832
Hammelfleisch gedünstet mit Weißkraut (Irish Stew),155,6.36,9.8,9.45,0.488
Roggenmischbrot mit Kümmel,219,6.53,0.75,43.0,1.232
Schokoladen-Milchsuppe gebunden mit Grieß,87,3.9,3.4,10.0,0.118
Rehrücken gebacken (Sandmasse),479,9.35,30.58,39.3,0.205
"Kalb Zunge, gekocht",174,19.012,10.875,0.0,0.13
Geflügelbockwurst mit Schweinefleisch,137,12.73,9.6,0.0,2.0
Rind Bratenfleisch (Bug) tiefgefroren,128,20.2,5.3,0.0,0.125
Petersilienblatt tiefgefroren,33,4.088,0.36,1.31,0.3138
Croissant (Hefeblätterteig/Plunderteig),426,8.0,23.57,44.0,0.872
Weizenbrötchen mit Kürbiskernen,307,10.7,5.17,52.0,1.36
Rotweinkuchen (Rührmasse),429,7.92,28.01,34.2,0.335
"Schmelzkäsezubereitung 45 - 52 % Fett i. Tr., mit Schinken",279,12.19,22.98,5.14,2.308
Zimtschnecken (Hefeteig),352,7.5,10.09,56.3,0.088
"Pute Innereien, tiefgefroren",154,17.9,9.21,0.0,0.192
"Gemüsemischung Leipziger Allerlei, tiefgefroren",57,3.2,0.398,8.2,0.025
"Getreideflakes gesüßt, mit Nüssen",370,10.8,6.93,60.9,0.778
Grundsauce dunkel/braun (von Wildbrühe),76,1.14,5.4,5.53,0.642
Frankfurter Würstchen/Schinkenwürstchen,270,12.4,24.4,0.08,2.0
Stachelbeerkuchen (Rührmasse) mit Baiser,275,4.1,12.25,35.6,0.185
Maracujanektar/Passionsfruchtnektar,56,0.2,0.1,13.209,0.015
Friesenkekse (Mürbeteig),511,6.5,27.31,58.36,0.06
Quarkspeise mit Pfirsichen,113,5.8,4.92,10.88,0.088
"Kartoffeln geschält, roh gebraten",222,2.88,12.753,22.601,0.0088
Ratatouille,58,1.2,3.36,4.6,0.43
Weißkraut-Karotten-Eintopf mit weißen Bohnen und Hammelfleisch,131,7.159,7.916,6.0,0.202
Quarkstollen (Rührmasse),379,8.1,15.7,48.6,0.312
Paella,102,8.5,3.3,9.0,0.625
Kiwisaft,48,0.8,0.4,9.1,0.008
Quarkspeise mit Himbeeren,112,5.8,4.87,10.0,0.085
Quarkspeise mit Erdbeeren,111,5.75,4.88,10.26,0.085
"Milchreis gesüßt, mit Milch 3,5 % Fett und Rosinen, aufgezogen, gebacken",140,4.1,4.3,20.8,0.105
Schneckennudeln/Rosenkuchen (Hefeteig),348,7.1,11.9,51.0,0.098
Hefeteig (feiner) gebacken,359,8.6,14.06,48.0,0.298
Bitterschokolade gefüllt mit Karamell,549,8.1,37.6,40.0,0.115
Bauernbratwurst/Westfälinger,281,19.24,22.58,0.15,2.5
Hefeteig (einfacher) gebacken,322,8.71,8.98,50.0,0.335
"Edelkrebs/Flusskrebs, gesalzen",73,16.935,0.56,0.0,1.88
Gänsezervelatwurst mit Schweinefleisch,366,23.2,30.38,0.0,3.8
Käsefondue (mit Alkohol),252,16.9,19.01,0.12,0.738
Gugelhupf mit Rosinen (Hefeteig),382,8.8,16.8,47.0,0.095
Salami Ungarische Art,386,21.81,33.08,0.18,3.8
Katenrauchwurst,263,25.15,17.93,0.18,3.8
Chinakohl gekocht,20,2.025,0.225,1.56,0.035
Nuss-Spritzgebäck (Rührmasse),558,7.9,40.54,38.6,0.172
Streuselkuchen (Hefeteig),425,7.27,17.97,57.0,0.06
Kartoffel-Tomaten-Gratin mit Mozzarella,97,2.76,5.2,9.09,0.408
"Batate/Süßkartoffel, gebacken",152,2.09,0.769,32.4,0.012
Weichkaramelle gefüllt,432,2.327,18.23,63.0,0.088
Früchtetee (Getränk) mit Zucker,7,0.0,0.0,1.861,0.005
"Rind Filet/Lende, gebraten ohne Fett (Ofen)",136,25.126,3.951,0.0,0.105
Glühwein,96,0.242,0.0,8.21,0.005
Grapefruit gezuckert,74,0.4,0.134,16.5,0.002
"Rote Rübe/Rote Bete, gedünstet",43,2.023,0.098,7.08,0.14
"Eier-Frischteigwaren, selbstgemacht, roh",283,11.07,5.76,44.97,1.128
Lammfleisch-Zervelatwurst,371,21.23,31.81,0.0,3.8
"Rind Steak (Rücken) mariniert, roh",144,20.41,6.75,0.14,0.995
"Schmelzkäsezubereitung 45 - 52 % Fett i. Tr., mit Nüssen",317,12.12,27.22,5.1,2.1355
"Grießbrei einfach, gesüßt",100,4.29,3.39,12.94,0.105
"Batate/Süßkartoffel, gekocht",65,1.7,0.2,12.8,0.01
Rinderkraftbrühe mit Reis,26,0.92,0.2,5.0,0.588
Weizenfladenbrot,248,8.2,2.3,47.0,1.26
Kartoffelgulasch,75,1.0,3.2,10.1,0.38
Käseklößchen,371,17.37,26.4,15.32,1.142
Knoblauch gebacken,112,7.118,0.494,3.0,0.0231405
"Porridge gesüßt, mit Wasser",81,2.613,1.308,13.5,0.025
Makrele gegrillt,188,23.7,10.36,0.0,0.498
"Erdnuss geröstet, gesalzen",614,28.7,49.2,9.9,0.96
Schnittlauchquark (aus Sahnequark),132,8.84,9.18,2.94,0.458
"Frankfurter Würstchen/Schinkenwürstchen, Konserve",226,12.5,19.5,0.08,2.0
Weizenvollkornbrötchen mit Sonnenblumenkernen,300,11.2,5.75,46.0,1.355
"Schwein Zunge, Kochpökelware",202,20.88,12.87,0.618,1.8
Englische Muffins/Toasties (Hefeteig) gebraten ohne Fett (Pfanne),371,10.55,8.47,61.0,1.215
Teewurst fettreduziert,200,21.63,12.56,0.1,2.925
Vollkornbrötchen mit Ölsamen,294,10.7,5.54,45.0,1.358
Lachs tiefgefroren,180,19.9,11.2,0.0,0.0798
"Gemüsepaprika grün, geschmort ohne Fett",42,1.175,0.261,7.56,0.012
Haferschleim,20,0.768,0.386,3.1,0.034
Heidesand (Mürbeteig),521,5.28,25.88,65.4,0.08
Mischpilze roh,34,3.5,0.3,2.16,0.012
Weizenmischbrot mit Kürbiskernen,238,8.42,3.06,41.0,1.15
"Ente Fleisch, ohne Haut, gegrillt",153,25.9,5.5,0.0,0.288
Schokozwieback,466,9.1,20.2,58.0,0.55
"Wachtel Fleisch, ohne Haut, tiefgefroren",128,21.8,4.53,0.0,0.128
Asia-Dressing,236,1.84,22.05,4.9,3.198
Broccoli gebraten ohne Fett (Pfanne),71,7.244,1.1934,4.6,0.13
Laugengebäck mit Sesam,276,8.9,3.61,50.0,1.288
Geflügelfleischkäse mit Schweinefleisch,193,16.86,13.9,0.11,2.0
Seezunge gedünstet,78,15.625,1.77,0.0,0.252
Weizenvollkornbrot mit Buttermilch,222,8.7,1.19,40.0,1.18
Käsewindbeutel salzig (Brandmasse) ungefüllt,245,12.3,14.16,16.5,0.422
Kohlrabi gekocht,28,1.898,0.157,3.8,0.04
Heidelbeer-Muffins (Rührmasse),336,5.7,14.23,44.3,0.24
Konfitüre extra,234,0.4,0.2,56.3,0.008
"Schwein Brustspitze, gebraten ohne Fett (Ofen)",228,25.24,14.13,0.0,0.1928
"Sauerteigbrot mit Ölsamen, glutenfrei",229,7.9,7.3,30.6,1.002
"Zartbitter-/Halbbitterschokolade, gefüllt mit Kokoscreme",564,5.51,37.37,48.1,0.068
Kaffeeeis,171,4.4,9.2,17.6,0.098
Eiswaffeln/Waffelhörnchen (Rührmasse),295,5.44,13.02,37.9,0.07
"Wildschwein Fleisch, geschmort ohne Fett",204,26.848,10.783,0.0,0.205
Schwein Kochfleisch (Bauch) gekocht,357,22.49,29.64,0.0,0.0965
Apfel-Streuselkuchen (Mürbeteig),309,4.19,16.13,35.14,0.0315
Rosinenbrötchen (Hefeteig),338,8.3,9.0,53.8,0.082
Orangennektar mit Süßungsmitteln,20,0.375,0.0,4.251,0.008
Böhmische Knödel roh,235,8.31,8.96,29.19,1.082
Studentenfutter,485,12.3,32.2,32.3,0.018
Roggenvollkornbrötchen,256,7.56,2.86,43.0,1.422
Buttergebäck (Mürbeteig),496,6.82,26.15,57.0,0.16
