foodname,calories,protein,fat,carbs,salt
Agavenbrand (Mezcal/Tequila),234,0.0,0.0,0.0,0.002
Brand aus Zuckerrohr (Cachaca),214,0.0,0.0,0.0,0.002
Calvados,227,0.0,0.0,0.0,0.002
Spirituosen mit Kümmel/Aquavit,274,0.0,0.0,0.0,0.002
Obstgeist,274,0.0,0.0,0.0,0.002
Gerstenmalzextrakt,359,4.4,0.0,73.8,0.025
Honigtauhonig (Waldhonig),362,0.38,0.0,85.927,0.005
Sardine roh,151,19.4,8.15,0.0,0.34
"Schillerlocken (Dornhai, Bauchlappen, heiß geräuchert)",286,21.3,22.3,0.0,1.558
Sprotte roh,186,16.7,13.3,0.0,0.225
"Goldbutt/Scholle, roh",76,17.2,0.8,0.0,0.153
Schwarzer Heilbutt roh,161,13.217,12.0,0.0,0.215
"Katfisch/Steinbeißer, roh",82,15.8,2.13,0.0,0.262
Schleie roh,77,17.7,0.74,0.0,0.082
Wels roh,128,15.3,7.4,0.0,0.048
"Pangasius/Schlankwels, roh",76,14.91,1.82,0.0,0.585
Zander roh,86,20.0,0.66,0.0,0.06
Meeräsche roh,108,20.4,2.89,0.0,0.172
Schafskopf (Meerbrasse) roh,102,20.2,2.41,0.0,0.178
"Edelkrebs/Flusskrebs, roh",64,15.0,0.47,0.0,0.632
Languste roh,79,17.2,1.1,0.0,0.455
Große Sandklaffmuschel roh,54,10.5,1.31,0.0,0.302
Venusmuschel roh,73,14.7,0.96,1.4,0.822
"Pilgermuschel/Jakobsmuschel, roh",63,15.6,0.1,0.0,0.74
"Schwein Rückenspeck, kernig, ohne Schwartenzug (S VIII) roh",746,4.41,80.92,0.0,0.0992
"Schwein Speck, ohne Schwartenzug (S VII) roh",660,6.94,70.23,0.0,0.1142
"Schwein Fettabschnitte, geringer Schwartenzug, sehr geringer Magerfleischanteil (S IX) roh",661,7.68,70.04,0.0,0.1195
"Lamm Fettgewebe, intermuskulär roh",637,5.49,68.3,0.0,0.085
"Schaf Kochfleisch (Brust, fett) roh",381,12.0,37.0,0.0,0.2
